Cf Error Code,Pg Error Code,Reason,Cf Error Description
CUSTOMER_CANCELLED,UP,psp_timeout,Received timeout response from payment service provider
TRANSACTION_DECLINED,Null Error Code,debit_failed,Issuer bank or payment service provider declined the transaction
,CF41,,
,9,,
,T14,,
,BUU|UT1,,
,T12,,
,SE,,
,E05,,
,CF04,,
,E12,,
,ERR010,,
,QO,,
,VP,,
,VU6,,
,O3,,
,CI,,
GATEWAY_ERROR,U35,response_error,gateway infrastructure error detected
PAYMENT_INSTRUMENT_INACTIVE,B2,multiple_names_linked,customer's payment instrument is inactive
TRANSACTION_DECLINED,YC,debit_failed,Issuer bank or payment service provider declined the transaction.
TRANSACTION_DECLINED,XP,debit_failed,"Issuer bank or payment service provider declined the transaction, transaction not permitted for the user."
NETWORK_ERROR,5007,invalid_vpa,Customer has entered incorrect vpa
PAYMENT_INSTRUMENT_BLOCKED,5008,psp_timeout,Customer's payment instrument was blocked by the network
TECHNICAL_FAILURE,5010,technical_decline,Transaction failed due to some technical error. kindly retry or reach out to bank
TRANSACTION_FAILED,CF11,technical_error,issue in decrypting the payment information. Please try again.
TECHNICAL_FAILURE,5087,account_number_missing,Payer account number and payer ifsc are missing. please enter these details
,5001,,
,PM5,,
CUSTOMER_CANCELLED,CF15,invalid_credentials,Transaction failed due to issues with bank credentials
,32,,
,PN0,,
,PM9,,
,PM16,,
,B1,,
,RNF,,
,REJECTED,,
,12,,
,XB,,
TRANSACTION_DECLINED,XX,invalid_details,"The transaction failed due to invalid details in the payment, please verify the details and retry."
,B07,,
,U03,,
,E04,,
,DRC|104,,
,59,,
,ZR,,
,125,,
TRANSACTION_DECLINED,UM1,customer_decline,The upi mandate request was successfully initiated and is awaiting user approval
,QK,,
TRANSACTION_DECLINED,UN8,customer_decline,The payment could not proceed because the users upi app or bank is not registered to handle upi transactions
TRANSACTION_DECLINED,UM9,debit_failed,The mandate setup request was declined by the bank or app.please retry or use a different upi app
TRANSACTION_DECLINED,UM0,debit_failed,The mandate setup request was declined by the bank or app.please retry or use a different upi app
,ROUTE-PLAN-NOT-FOUND,,
,B03,,
,3,,
,PM3,,
,YH,,
,21,,
,VS,,
,QD,,
,CN,,
,UN4,,
,1210,,
TRANSACTION_DECLINED,NO,debit_failed,"The transaction declined by remitter (customer's) bank, please ask the customer to check with their bank before retrying."
TRANSACTION_DECLINED,K1,suspected_fraud,The transaction was declined by the remitter bank due to a high risk score or suspected fraud activity.
TRANSACTION_DECLINED,U92,remitter_bank_unavailable,The remitter bank or TPAP is currently unavailable. Please retry after some time.
TRANSACTION_DECLINED,UX,invalid_vpa,UPI virtual address (VPA) used has expired or is no longer valid. Please request the user to retry with a valid VPA.
,116,,
,NORECORD,,
TRANSACTION_DECLINED,V,transaction_details_missing,some of the details reletaed to the transaction are missing in the request
VALIDATION_FAILURE,409,duplicate_transaction,duplicate transaction id found
TRANSACTION_DECLINED,S99,debit_failed,The remitter (customer’s) bank declined the transaction. Please request the user to try again or check with their bank.
,5006,,
NETWORK_ERROR,8010,bank_offline,request session is timed out. Kindly retry after sometime.
,5032,,
,5,,
,257,,
,52,,
CUSTOMER_AUTH_FAILURE,2,collect_request_expired,"Collect expired, the customer did not approve or complete the payment within the permitted time frame."
,E13,,
,207,,
,PENDING,,
,Z5,,
,U47,,
,PN2,,
,111,,
,AM,,
,A79,,
,D06,,
,PH105,,
TRANSACTION_DECLINED,86,debit_failed,The transaction failed due to an internal error at the remitter's bank or server.
TRANSACTION_DECLINED,V03,invalid_credentials,Transaction failed due to invalid or missing upi credentials. please check and try again
CUSTOMER_AUTH_FAILURE,92,collect_request_expired,"Collect expired, the customer did not approve or complete the payment within the permitted time frame."
,TCC|103,,
,PH025,,
,I04,,
,QL,,
,T18,,
,FR5,,
,D02,,
,VY,,
,VU,,
,PM1,,
NETWORK_ERROR,503,bank_offline,request session is timed out. Kindly retry after sometime.
VALIDATION_FAILED,M2,limit_exceed,amount limit is exceeded for this customer
,907,,
,8002,,
,BUU,,
,5021,,
,XE,,
,PM8,,
TRANSACTION_DECLINED,S3,fraud_detected,issuer bank or payment service provider declined the transaction
,444,,
,8,,
,D13,,
,5420,,
,V4,,
,U84,,
,203,,
,D05,,
,T05,,
,71,,
,O1,,
,C12,,
,UN3,,
,VD,,
